id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
20155,20205,27371,1346,,54Gam Tau,Prima Hyadum,4.329889,15.627642,49.5295,115.29,-23.86,39.0,3.65,0.176,G8III,0.981,20.197375,43.211662,13.342572,-0.00000816,0.00004792,0.00000523,1.1335623407398079,0.27275381183024,0.0000005589416923,-0.000000115676544,Gam,54,Tau,1,20155,,74.06277836681546,,,
20405,20455,27697,1373,,61Del1Tau,Secunda Hyadum,4.382247,17.542514,47.7099,107.75,-28.84,39.0,3.77,0.377,G8III,0.983,18.695965,41.472036,14.380508,-0.00000626,0.00004675,0.00000566,1.147269650883982,0.3061746305726813,0.0000005223867408,-0.000000139820265,Del-1,61,Tau,1,20405,,61.54602373713163,,,
20483,20535,28028,1393,,43    Eri,Beemim,4.400613,-34.016846,90.8265,73.77,57.57,24.0,3.97,-0.821,K4III,1.468,30.609599,68.780131,-50.811792,-0.00001564,0.00004475,0.00000728,1.1520779014117062,-0.5937059698116938,0.0000003576470521,0.000000279107235,,43,Eri,1,20483,,185.5239575549284,,,
20837,20889,28305,1409,,74Eps Tau,Ain,4.476943,19.180431,44.964,107.23,-36.77,39.0,3.53,0.266,K0III,1.014,16.488448,39.136798,14.772771,-0.00000589,0.00004622,0.00000553,1.1720610098249595,0.3347616811725875,0.0000005198657097,-0.00000017826599,Eps,74,Tau,1,20837,,68.17105263058534,,,
20842,20894,28319,1412,,78The2Tau,Chamukuy,4.477705,15.870883,46.1042,108.66,-26.39,40.0,3.4,0.081,A7III,0.179,17.209733,40.871602,12.608233,-0.00000649,0.00004718,0.00000551,1.1722604464872712,0.2769991565046125,0.0000005267985453,-0.00000012794233,The-2,78,Tau,1,20842,,80.83510373900673,The-2,3.411,3.391
21057,21109,28678,,,,Hoggar,4.523737,4.575287,226.7574,0.22,-12.85,0.0,8.38,1.602,K0,1.008,85.200384,209.362436,18.088209,0.0000002,0.00000113,-0.00001408,1.1843115713326633,0.07985382888762625,0.0000000010665901,-0.000000062298557,,,Tau,1,21057,,19.915902890576117,,,
21340,21393,29291,1464,,52Ups2Eri,Theemin,4.592512,-30.562341,65.5738,-48.92,-12.75,-4.0,3.81,-0.274,G8III,0.957,20.338212,52.67393,-33.342657,0.0000125,-0.00001081,-0.00000141,1.2023168237550403,-0.5334134848702601,-0.0000002371708525,-0.000000061813744,Ups-2,52,Eri,1,21340,,112.0985512875314,,,
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112027507,0.2881416661221312,0.0000003043660287,-0.000000918043185,Alp,87,Tau,1,21368,Gl 171.1,163.23000728189953,Alp,0.888,0.858
21541,21594,29503,1481,GJ 9160A,53    Eri,Sceptrum,4.63634,-14.30402,33.6814,-77.86,-178.06,41.8,3.86,1.223,K1III,1.082,11.405856,30.579706,-8.321655,0.00002388,0.00002764,-0.00003873,1.2137910800855978,-0.24965224051834126,-0.0000003774759317,-0.000000863259239,,53,Eri,1,21541,GJ 9160,28.235793691102995,,,
22396,22449,30652,1543,Gl 178,1Pi 3Ori,Tabit,4.830669,6.961276,8.0684,463.44,11.62,24.4,3.19,3.656,F6V,0.484,2.413721,7.63677,0.977904,-0.00000983,0.00002903,0.00000348,1.2646661966795603,0.12149717993430376,0.0000022468205212,0.000000056335349,Pi-3,1,Ori,1,22396,,3.003308878676558,,,
22438,22491,30856,,,,Mouhoun,4.838295,-24.368839,118.0638,18.86,-18.12,0.0,7.91,2.549,K0III,0.961,32.206232,102.609681,-48.714197,-0.00001158,-0.00000085,-0.00000945,1.2666625850637763,-0.42531648167208247,0.0000000914358602,-0.000000087848238,,,Eri,1,22438,,8.325302067492423,,,
22961,23015,31398,1577,,3Iot Aur,Hassaleh,4.949894,33.16609,151.2859,3.63,-18.54,18.0,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.2958792109889454,0.57885747451101,0.0000000175987366,-0.000000089884456,Iot,3,Aur,1,22961,,1673.4009068393123,,,
23361,23416,31964,1605,,7Eps Aur,Almaaz,5.032815,43.823308,653.5948,0.18,-2.31,-3.0,3.03,-6.047,F0Ia,0.537,118.129799,456.518488,452.57303,0.00000016,0.00000291,-0.00000741,1.3175878916358155,0.7648610190070351,0.0000000008726646,-0.000000011199196,Eps,7,Aur,1,23361,,22845.464885518246,Eps,3.085,2.935
23398,23453,32068,1612,,8Zet Aur,Saclateni,5.041301,41.075837,240.9639,8.88,-21.43,13.0,3.69,-3.22,K4II comp,1.154,45.114162,175.957014,158.327189,-0.00000347,0.00002822,-0.00001013,1.3198096307002298,0.7169086049137537,0.0000000430514548,-0.000000103895571,Zet,8,Aur,1,23398,,1690.440931643265,Zet,3.716,3.676
23712,23767,32630,1641,,10Eta Aur,Haedus,5.10858,41.234474,74.6269,30.6,-68.41,7.0,3.18,-1.184,B3V,-0.148,12.978524,54.599524,49.18977,-0.00000575,0.00002367,-0.00001389,1.3374230330886296,0.7196773429659176,0.0000001483529863,-0.000000331661038,Eta,10,Aur,1,23712,,259.1791134615946,,,
23820,23875,33111,1666,GJ 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.78,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.3432479534963782,-0.0887752322551,-0.0000004042861282,-0.00000036574344,Bet,67,Eri,1,23820,,50.53589947531675,,,
23949,24003,32518,1636,,,Mago,5.160181,69.639401,120.6273,60.42,-63.55,-8.0,6.43,1.023,K1III,1.101,9.153224,40.959237,113.090617,-0.0000275,0.00003893,-0.0000206,1.3509323420887258,1.2154368391329362,0.0000002929244258,-0.000000308099093,,,Cam,1,23949,,33.946890538007864,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.359830239429058,-0.7857196034245437,0.0000315422204638,-0.000027786562805,,,Pic,1,24129,,0.0038089037649813515,VZ,9.148,8.828
24378,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21.0,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693276385,-0.143145630755865,0.0000000090660158,-0.000000002714956,Bet,19,Ori,1,24378,,51665.42425669497,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816412648801,0.8028163926341112,0.0000003661312916,-0.000002070784673,Alp,13,Aur,1,24549,Gl 194,139.3156802945302,,,
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18.0,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651833814526,0.11082320964651,-0.000000042421197,-0.000000064383256,Gam,24,Ori,1,25273,,1152.3913771994878,,,
25364,25428,35497,1791,,112Bet Tau,Elnath,5.438198,28.60745,41.0509,23.28,-174.22,9.0,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.4237168085654672,0.4992941923790525,0.0000001128646248,-0.000000844642394,Bet,112,Tau,1,25364,,321.21809339879854,,,
25542,25606,36079,1829,,9Bet Lep,Nihal,5.470756,-20.759441,49.1642,-5.03,-85.92,-14.0,2.81,-0.648,G5II,0.807,6.349344,45.531613,-17.425966,-0.00000166,-0.00002061,-0.00001407,1.4322406986213787,-0.3623205948292475,-0.0000000243861281,-0.000000416551914,Bet,9,Lep,1,25542,,158.1976398601154,,,
25865,25930,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16.0,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.4486524168433992,-0.005220140244135,0.0000000080963885,0.000000002714956,Del,34,Ori,1,25865,,4943.106869868354,Del,2.334,2.234
25920,25985,36673,1865,,11Alp Lep,Arneb,5.545504,-17.822289,680.2721,3.27,1.54,24.0,2.58,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208,-0.00000775,0.00002603,-0.00000268,1.4518096517173142,-0.3110576146713625,0.0000000158534074,0.00000000746613,Alp,11,Lep,1,25920,,37428.29122408052,,,
26142,26207,36861,1879,,39Lam Ori,Meissa,5.585633,9.934158,336.7003,-1.03,-1.86,34.0,3.39,-4.246,O...,-0.16,35.907504,329.702779,58.086365,0.00000544,0.00003439,0.00000301,1.462315173306167,0.17338377209657752,-0.0000000049935809,-0.000000009017534,Lam,39,Ori,1,26142,,4349.106072324538,,,
26176,26241,37043,1899,,44Iot Ori,Hatysa,5.590551,-5.909901,714.2857,2.27,-0.62,22.0,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-0.00000544,0.00002287,-0.00000445,1.4636027422961173,-0.10314723630113501,0.0000000110052705,-0.000000003005844,Iot,44,Ori,1,26176,,35285.8025828527,,,
26246,26311,37128,1903,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26.0,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-0.00000161,0.00002683,-0.00000367,1.4670083872075836,-0.02097745796646875,0.0000000072237238,-0.000000005139025,Eps,46,Ori,1,26246,,67483.87308707573,Eps,1.717,1.667
26315,26380,38283,,,,Bubup,5.617169,-73.699343,38.3142,138.79,-107.29,0.0,6.69,3.773,WN...,0.584,1.075847,10.699992,-36.774049,-0.00002756,-0.00001645,-0.00000559,1.4705714786379382,-1.2862961863702238,0.0000006728729072,-0.000000520156597,,,Men,1,26315,,2.696497363543418,,,
26386,26451,37202,1910,,123Zet Tau,Tianguan,5.627413,21.142549,136.4256,2.39,-18.04,20.0,2.97,-2.704,B4IIIp,-0.148,12.391949,126.637551,49.207351,0.0000007,0.00002342,-0.00000375,1.4732531913866609,0.3690070937216137,0.000000011587047,-0.000000087460387,Zet,123,Tau,1,26386,,1050.9934271862176,Zet,3.032,2.902
26569,26634,37795,1956,,Alp Col,Phact,5.660817,-34.074108,80.1282,-0.1,-24.05,35.0,2.65,-1.869,B7IV,-0.12,5.885917,66.110037,-44.89318,0.0000022,0.00002432,-0.00002779,1.4819983267578802,-0.5947053712297875,-0.0000000004848137,-0.00000011659769,Alp,,Col,1,26569,,487.07966649253666,,,
26662,26727,37742,1948,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18.0,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.0000028,0.00001879,0.00000215,1.4868406872605762,-0.03390428125016375,0.0000000193440659,0.000000012314267,Zet,50,Ori,1,26662,,8937.169608501978,,,
27298,27366,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21.0,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.5173738927528553,-0.168766439905435,0.000000007514612,-0.000000005817764,Kap,53,Ori,1,27298,,5095.654806081146,,,
27559,27628,39425,2040,,Bet Col,Wazn,5.849329,-35.768309,26.7308,55.74,404.68,89.0,3.12,0.985,K1.5III,1.146,0.855327,21.672805,-15.624858,-0.0000031,0.00010471,-0.00001066,1.5313508145575236,-0.6242747529899825,0.0000002702351455,0.000001961944002,Bet,,Col,1,27559,,35.15604405282981,,,
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21.0,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.5497291183713153,0.12927763169419373,0.0000001324995789,0.000000052650765,Alp,58,Ori,1,27919,,13415.28798266127,Alp,0.571,0.281
28288,28360,40183,2088,GJ 3375,34Bet Aur,Menkalinan,5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.9,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.5687409450202745,0.78448069066935,-0.0000002734833972,-0.00000000426636,Bet,34,Aur,1,28288,,93.58365435835302,Bet,1.967,1.897
28309,28380,40312,2095,,37The Aur,Mahasim,5.995351,37.212585,50.7614,42.09,-73.61,30.0,2.65,-0.878,A0p Si,-0.083,0.049188,40.426416,30.69934,-0.00001031,0.0000354,0.00000413,1.5695791535081838,0.6494821333756875,0.0000002040580781,-0.00000035687135,The,37,Aur,1,28309,,195.52396696208865,The,2.66,2.63
28962,29034,42167,2177,,The Col,Elkurud,6.125453,-37.25292,221.2389,0.9,0.3,45.0,5.0,-1.724,B8:IV,-0.095,-5.782732,176.005131,-133.923795,-0.00000217,0.00003678,-0.0000276,1.6036399751790773,-0.6501861162736412,0.0000000043633231,0.000000001454441,The,,Col,1,28962,,426.18680542416035,,,
29477,29550,43197,,,,Amadioha,6.226569,-29.897269,56.3063,148.18,13.97,0.0,8.98,5.227,G8/K0IV/V,0.817,-2.893727,48.727238,-28.065674,-0.00004049,-0.0000005,0.00000331,1.6301119399729787,-0.5218057853758787,0.0000007183969118,0.000000067728471,,,CMa,1,29477,,0.7066429004252072,,,
29582,29655,42995,2216,,7Eta Gem,Propus,6.247961,22.506799,117.9245,-62.53,-10.24,19.0,3.31,-2.048,M3III,1.6,-7.067151,108.713368,45.140745,0.00003436,0.00002247,0.00000203,1.6357124064025486,0.39281774360695004,-0.0000003031539945,-0.00000004964492,Eta,7,Gem,1,29582,,574.3809134963176,Eta,3.446,3.216
30016,30089,44179,,,,Red Rectangle,6.332838,-10.637414,440.5286,-10.98,-21.1,0.0,8.85,0.63,B8,0.344,-37.678828,431.31548,-81.318571,0.00002408,-0.00000625,-0.00004429,1.6579330572152564,-0.18565790108725252,-0.0000000532325421,-0.000000102295686,,,Mon,1,30016,,48.75284901033863,V777,8.897,8.767
30049,30122,44402,2282,,1Zet CMa,Furud,6.338553,-30.063367,111.1111,8.0,3.81,32.0,3.02,-2.209,B2.5V,-0.16,-8.512138,95.786306,-55.662081,-0.00000689,0.00002886,-0.00001462,1.6594293653695764,-0.5247047423752412,0.0000000387850944,0.000000018471401,Zet,1,CMa,1,30049,,666.1929002234552,,,
30251,30324,44743,2294,,2Bet CMa,Mirzam,6.378329,-17.955918,151.0574,-3.45,-0.47,34.0,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-0.00000075,0.00003306,-0.00001105,1.6698426956468702,-0.31338988393796,-0.000000016726072,-0.000000002278624,Bet,2,CMa,1,30251,,3209.223768048436,Bet,1.999,1.969
30270,30343,44478,2286,,13Mu  Gem,Tejat,6.382673,22.513586,71.0227,56.84,-108.79,55.0,2.87,-1.387,M3IIIvar,1.621,-6.562116,65.281443,27.194957,-0.0000261,0.00006402,-0.00001306,1.6709799892208403,0.3929361989979738,0.000000275568096,-0.000000527428803,Mu,13,Gem,1,30270,,312.46400858061116,Mu,2.946,2.826
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21.0,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.6753053519997292,-0.9197127748902675,0.0000000969142547,0.000000114755398,Alp,,Car,1,30365,,13854.791675667215,,-0.547,-0.667
30788,30860,45350,,,,Lucilinburhuc,6.479366,38.962963,48.8759,-43.8,-53.45,0.0,7.89,4.445,G5,0.74,-4.756834,37.704707,30.734041,0.0000093,0.0000092,-0.00000985,1.6962940479515694,0.6800319905870199,-0.0000002123483921,-0.000000259132912,,,Aur,1,30788,,1.4521116175877415,,,
30832,30905,45652,,,,Lusitânia,6.486997,10.933891,34.3525,206.14,-62.69,0.0,8.1,5.42,K5,0.846,-4.288647,33.455125,6.515853,-0.0000343,-0.0000024,-0.00001025,1.6982918567055596,0.19083240461516,0.0000009993949211,-0.000000303929696,,,Mon,1,30832,,0.5915616341754738,,8.169,8.059
30847,30920,,,Gl 234A,,Ross 614,6.489833,-2.813979,4.1268,694.73,-618.62,16.7,11.12,13.042,M4.5Ve,1.69,-0.527146,4.088126,-0.202607,-0.00001589,0.00001454,-0.0000132,1.6990344172782257,-0.049113197600912505,0.0000033681460829,-0.00000299915439,,,Mon,1,30847,Gl 234,0.0005286886658509,V577,11.176,11.066
31601,31681,47105,2421,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13.0,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.735344593460758,0.28622094417349375,-0.0000000098901991,-0.000000324437315,Gam,24,Gem,1,31601,,165.34840121711517,,,
31812,31895,48265,,,,Nosaxa,6.667144,-48.541955,85.3971,26.51,30.06,0.0,8.05,3.393,G5IV/V,0.747,-9.824884,55.678794,-64.000065,-0.00001243,0.00000728,0.00000824,1.7454542635859338,-0.84721694181882,0.0000001285241067,0.000000145734992,,,Pup,1,31812,,3.826484865951095,,,
32161,32246,48329,2473,,27Eps Gem,Mebsuta,6.732202,25.131124,259.0674,-5.93,-12.81,10.0,3.06,-4.007,A3mA6-A9,1.377,-44.684834,230.247724,110.023705,0.00000425,0.00001722,-0.00001022,1.7624862964423016,0.43862086058447,-0.0000000287494513,-0.000000062104632,Eps,27,Gem,1,32161,,3489.7956743787418,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696021995,-0.291751258517685,-0.0000026471311772,-0.000005929659164,Alp,9,CMa,1,32263,Gl 244,22.824433121735034,,-1.333,-1.523
32276,32362,48737,2484,Gl 242,31Xi  Gem,Alzirr,6.754824,12.895591,17.9986,-115.16,-190.91,30.0,3.35,2.074,F5IV,0.443,-3.444569,17.203451,4.0169,0.00000325,0.00003494,-0.00000939,1.768408782774948,0.22507052336927624,-0.0000005583114345,-0.000000925557797,Xi,31,Gem,1,32276,,12.894366199598709,,,
32829,32916,49674,,,,Nervia,6.858475,40.867756,44.2282,34.96,-122.85,0.0,8.1,4.872,G0,0.729,-7.453896,32.605159,28.93919,-0.00001115,0.00001513,-0.00001992,1.7955445390450488,0.7132769055559475,0.0000001694908627,-0.000000595593606,,,Aur,1,32829,,0.9799411610955939,,,
33492,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27.0,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.8265996485677483,-0.5056582518554612,0.0000000127505998,0.000000011102233,Eps,21,CMa,1,33492,,3375.981048554255,,,
33632,33719,52265,2622,,,Citalá,7.00501,-5.367162,28.9603,-115.76,80.35,54.0,6.29,3.981,G0III-IV,0.572,-7.499264,27.84151,-2.708925,0.00000112,0.00005834,0.00000606,1.8339073673222295,-0.09367464645682,-0.0000005612203166,0.000000389547792,,,Mon,1,33632,,2.2263836295529074,,,
33769,33856,52877,2646,,22Sig CMa,Nganurganity,7.028652,-27.93483,343.6426,-6.01,4.64,22.0,3.49,-4.191,K4III,1.729,-80.775471,292.659236,-160.9853,0.0000034,0.00002532,-0.00000371,1.8400968600486058,-0.4875547651656525,-0.0000000291373022,0.000000022495354,Sig,22,CMa,1,33769,,4134.281080471351,Sig,3.546,3.446
33956,34045,53244,2657,,23Gam CMa,Muliphein,7.062637,-15.633286,135.5014,-0.81,-11.2,32.0,4.11,-1.55,B8II,-0.112,-35.835279,125.471916,-36.514903,-0.0000076,0.00002854,-0.0000159,1.8489940036388304,-0.27285231211740496,-0.0000000039269908,-0.000000054299132,Gam,23,CMa,1,33956,,363.0780547701014,,,
34000,34088,52973,2650,,43Zet Gem,Mekbuda,7.068481,20.570297,421.9409,-5.72,-0.96,7.0,4.01,-4.116,G3Ibv SB,0.899,-109.067807,379.683873,148.25163,0.0000092,0.00001034,0.00000068,1.850524028350753,0.3590194112756538,-0.0000000277313425,-0.000000004654211,Zet,43,Gem,1,34000,,3858.335599053513,Zet,4.172,3.702
34354,34444,54605,2693,,25Del CMa,Wezen,7.139857,-26.3932,492.6108,-2.75,3.33,34.0,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-0.00000392,0.00003508,-0.00000833,1.869210132341708,-0.46064823373741876,-0.0000000133323762,0.000000016144295,Del,25,CMa,1,34354,,39192.232245497704,,,
35453,35550,56986,2777,Gl 271A,55Del Gem,Wasat,7.335383,21.98232,18.5391,-18.72,-7.76,-15.3,3.5,2.16,F0IV...,0.374,-5.888392,16.151258,6.939513,0.00000646,-0.00001281,-0.0000065,1.9203987458751912,0.38366386981151623,-0.000000090757121,-0.000000037621541,Del,55,Gem,1,35453,Gl 271,11.912420080273744,,,
35806,35904,58350,2827,,31Eta CMa,Aludra,7.401584,-29.303104,609.7561,-3.76,6.66,41.0,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-0.0000062,0.00004711,-0.00000336,1.9377301884962992,-0.5114356374748288,-0.0000000182289944,0.000000032288591,Eta,31,CMa,1,35806,,33915.6386905822,Eta,2.509,2.409
36087,36188,58715,2845,,3Bet CMi,Gomeisa,7.452512,8.289315,49.5786,-50.28,-38.45,22.0,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.0000264,-0.0000059,1.9510630590622124,0.144675846904975,-0.0000002437643186,-0.00000018641086,Bet,3,CMi,1,36087,,149.41699574067007,Bet,2.896,2.876
36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952186961957238,0.09120715749281125,0.0000027695951129,-0.000017910229393,,,CMi,1,36107,,0.0014588142602753474,,,
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6.0,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.983558270234413,0.5565554130270287,-0.0000010003160671,-0.000000718396911,Alp,66,Gem,1,36744,Gl 278,49.43106869868354,,,
37159,37265,61110,2930,,71Omi Gem,Jishui,7.65276,34.584346,50.9944,-35.97,-118.03,7.0,4.89,1.352,F3III,0.413,-17.604251,38.11415,28.945417,-0.00000134,0.00002411,-0.00001996,2.003487836109542,0.6036107060261138,-0.0000001743874809,-0.000000572225587,Omi,71,Gem,1,37159,,25.07263624777119,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4.0,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041242831,0.09119333187796,-0.0000034740293908,-0.000005015785376,Alp,10,CMi,1,37173,Gl 280,7.4404636619191935,,,
37178,37284,63454,,,,Ceibo,7.656083,-78.278972,34.5423,-20.65,-39.69,0.0,9.37,6.678,K4V,1.006,-2.947922,6.367903,-33.822035,0.00000587,-0.00000445,-0.00000135,2.0043578070022807,-1.3662258006973038,-0.000000100114025,-0.000000192422549,,,Cha,1,37178,,0.1856949101490461,,,
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.0303268874812184,0.4891494417459975,-0.0000030334307179,-0.000000222771886,Bet,78,Gem,1,37718,,32.09223768048434,,,
37933,38041,63765,,,,Tapecue,7.797127,-54.264145,33.2557,147.22,-278.72,-1.0,8.1,5.491,G6IV/V,0.745,-8.804898,17.312575,-26.994249,-0.00000435,-0.0000438,-0.00002541,2.0412830792486294,-0.9470879906360374,0.0000007137427005,-0.00000135127269,,,Car,1,37933,,0.5541151189716866,,,
38062,38170,63700,3045,,7Xi  Pup,Azmidi,7.821571,-24.859786,367.6471,-5.56,-0.71,3.0,3.34,-4.487,G6Ia,1.218,-153.118527,296.362603,-154.558514,0.00000777,0.00000655,-0.00000244,2.0476824881381446,-0.43388511111904876,-0.0000000269556406,-0.000000003442177,Xi,7,Pup,1,38062,,5430.002130657378,,,
39318,39429,66811,3165,,Zet Pup,Naos,8.059737,-40.003148,332.2259,-30.82,16.77,-24.0,2.21,-5.397,O5IAf,-0.269,-130.674899,218.376203,-213.564535,0.00004333,0.00002425,0.00003647,2.110034132578707,-0.6981866375965275,-0.0000001494195763,0.000000081303254,Zet,,Pup,1,39318,,12554.51673687138,Zet,2.224,2.194
39644,39757,67523,3185,,15Rho Pup,Tureis,8.125737,-24.304324,19.4818,-83.29,46.38,46.0,2.83,1.382,F2mF5IIp,0.458,-9.379037,15.076242,-8.018549,-0.00001692,0.00004209,-0.00001537,2.127312993738498,-0.4241904755048812,-0.0000004038013145,0.000000224856585,Rho,15,Pup,1,39644,,24.389337302789126,Rho,2.875,2.775
40054,40167,68255,3210,,16Zet2Cnc,Tegmine,8.203535,17.647771,25.0815,28.29,-150.94,-11.0,4.67,2.673,G0V,0.531,-13.035978,20.033032,7.603791,-0.00000007,-0.0000062,-0.0000209,2.147680389095665,0.30801170294452124,0.0000001371537902,-0.000000731777769,Zet-2,16,Cnc,1,40054,,7.426770437146974,,,
40411,40526,69267,3249,,17Bet Cnc,Tarf,8.275256,9.185545,93.0233,-46.8,-48.65,22.0,3.53,-1.313,K4III,1.481,-51.522087,76.015371,14.84954,0.00000304,0.00003313,-0.00001807,2.166456903687978,0.16031799820876877,-0.0000002268928025,-0.000000235861855,Bet,17,Cnc,1,40411,,291.87708481971424,,,
40572,40687,68988,,,,Násti,8.306136,61.460722,54.5256,128.33,31.73,0.0,8.2,4.517,G0,0.652,-14.7896,21.444841,47.900183,-0.00002374,-0.00002532,0.00000401,2.1745414329122172,1.072691957024575,0.0000006221613963,0.00000015383138,,,UMa,1,40572,,1.3589391171008005,,,
40766,40881,70011,3268,,19Lam Cnc,Piautos,8.34226,24.022314,140.2525,-20.67,-17.84,23.0,5.92,0.185,B9.5V,-0.039,-73.723045,104.765465,57.095809,-0.00000371,0.0000297,-0.0000015,2.183998647153857,0.41926846620585,-0.0000001002109878,-0.00000008649076,Lam,19,Cnc,1,40766,,73.45138681571152,,,
40921,41037,71129,3307,,Eps Car,Avior,8.375236,-59.509483,185.5288,-25.34,22.72,2.0,1.86,-4.482,K3III+B2V,1.196,-54.83708,76.515238,-159.872623,0.00000766,0.00002843,0.00000861,2.192631676046867,-1.038636414190405,-0.0000001228517867,0.000000110149668,Eps,,Car,1,40921,,5405.053537086696,,,
40959,41075,70272,3275,,31    Lyn,Alsciaukat,8.380588,43.188131,117.2333,-25.62,-99.44,24.0,4.25,-1.095,K5III,1.55,-49.889521,69.406143,80.234157,-0.0000212,0.00005444,-0.00002441,2.1940326841689317,0.7537750756361737,-0.000000124209265,-0.000000482098723,,31,Lyn,1,40959,,238.78112829131757,BN,4.265,4.235
